Dataset,Generator,UtilityGap
Adult,ForestDiffusion,0.070768711
Adult,TVAE,0.1534676764
Adult,CTGAN,0.1680863509
Adult,CopulaGAN,0.1733386803
Adult,GaussianCopula,0.1843461872
Adult,CTABGAN,0.2383125094
Adult,TabDDPM,0.3715135722
Adult,WGAN-GP,0.5004025122
Alzheimer's,ForestDiffusion,-0.0116882635
Alzheimer's,TVAE,0.0608644747
Alzheimer's,WGAN-GP,0.0809920465
Alzheimer's,CTABGAN,0.1023290302
Alzheimer's,GaussianCopula,0.1094287977
Alzheimer's,CTGAN,0.3553197143
Alzheimer's,CopulaGAN,0.4946172489
Alzheimer's,TabDDPM,0.564316853
Bank Marketing,ForestDiffusion,-0.0050246647
Bank Marketing,CopulaGAN,0.0087410672
Bank Marketing,CTABGAN,0.0219338453
Bank Marketing,TVAE,0.0281020922
Bank Marketing,CTGAN,0.0322262241
Bank Marketing,WGAN-GP,0.0341273941
Bank Marketing,GaussianCopula,0.034591539
Bank Marketing,TabDDPM,0.0387162178
CDC Diabetes,CopulaGAN,-0.0768028364
CDC Diabetes,TVAE,-0.0623113621
CDC Diabetes,CTABGAN,-0.0614478005
CDC Diabetes,ForestDiffusion,0.0171589094
CDC Diabetes,TabDDPM,0.0438472919
CDC Diabetes,WGAN-GP,0.0477643099
CDC Diabetes,CTGAN,0.1100257967
CDC Diabetes,GaussianCopula,0.183897334
Cancer,ForestDiffusion,0.0002867068
Cancer,WGAN-GP,0.0346133132
Cancer,TVAE,0.0433445649
Cancer,CTABGAN,0.1148567576
Cancer,GaussianCopula,0.1535866237
Cancer,CTGAN,0.2507556489
Cancer,CopulaGAN,0.5328189355
Cancer,TabDDPM,0.663683727
Forest Cover,ForestDiffusion,-0.0616913272
Forest Cover,GaussianCopula,0.1870013885
Forest Cover,WGAN-GP,0.2336867939
Forest Cover,TabDDPM,0.2487419442
Forest Cover,TVAE,0.2557809254
Forest Cover,CTABGAN,0.2895507893
Forest Cover,CTGAN,0.4468849493
Forest Cover,CopulaGAN,0.4963703928
MAGIC Gamma,ForestDiffusion,0.0159894694
MAGIC Gamma,WGAN-GP,0.0292643556
MAGIC Gamma,CTABGAN,0.0317329955
MAGIC Gamma,GaussianCopula,0.0636876333
MAGIC Gamma,CopulaGAN,0.0775803344
MAGIC Gamma,TVAE,0.0780877872
MAGIC Gamma,CTGAN,0.0928708188
MAGIC Gamma,TabDDPM,0.1611382114
Mushroom,ForestDiffusion,0.0849400725
Mushroom,WGAN-GP,0.1308425921
Mushroom,CopulaGAN,0.1682264301
Mushroom,CTABGAN,0.1812783297
Mushroom,TVAE,0.1999140755
Mushroom,GaussianCopula,0.2066698448
Mushroom,CTGAN,0.2715652055
Mushroom,TabDDPM,0.3840214666
Wine Quality,ForestDiffusion,-0.0915028307
Wine Quality,TVAE,0.0363421037
Wine Quality,WGAN-GP,0.0541266134
Wine Quality,GaussianCopula,0.1333370841
Wine Quality,CTABGAN,0.1338878672
Wine Quality,TabDDPM,0.1419558557
Wine Quality,CopulaGAN,0.1717712905
Wine Quality,CTGAN,0.2195677419
